Username,Comment
@ThinkSchool,"Hey guys, 
Please hit the like button to support our work!! Would mean alot :) 
Thank you 


Ganesh"
@balupatade1770,Management Analysis is important while investing in companies
@TheConfirmist,"One important analysis required is even if 10% vehicles turn SB, what will be incremental power generation required and how much of that can be generated from green energy"
@RAHULKUMAR-fp7tp,Their quick expansion and not able to utilize it efficiently reminded of CCD
@adityashaw6101,"Aggressive growth, No actual demand, promoters siphoning off funds & co. trying to raise captial through ipo- Sounds like Byjus"
@venkateshkodge3310,"Spe is the how Enron made huge scam
This module is against SEC REGULATIONS."
@jainsushil6286,"Wow video sir, as medico please release some healthcare startup video 👌"
@avinashpoojary2970,Financial Discipline is important. Good One
@himathejgowda3169,Learnt a lot
@manojc735,can you please share your details of your  chair ......i like it.... how can i buy this chair...?
@musafirdude,@Thinkschool Your content is really amazing.
@harshitgarg3972,"Boss, I trusted you a lot and on your face value I thought of doing a course from coding invaders. Turns out they are a big big fraud.. boss respect your audience. Don't just recommend anybody for money."
@yashkapoor9299,🔥🔥🔥🔥🔥🔥🔥🔥🔥
@auro1986,"what how? you don't need to be mba from america or england to know that business is all about me and not we. me is freedom and democracy, we is communism"
@om0068,Business case study on Open AI recent incident please.
@nivetharamesh5876,You are too good 🎉
@jestinmathew4503,May India rise and become an advanced economy. Jai hind 🇮🇳
@user-zr3ev1xm7d,"Hi Ganesh, Have small input over video. I could notice it's getting much relevant like documentaries. However I can notice cuts and edits. Also, background music / effect is not consistent. Loved the content of topics covered. But not happy with personal comment on WeWork interations. Could have been diplomatic. 

Thank you."
@kumaraswamy3452,"Congratulations for 3.5M subs, been following you 2 years or more but barely disappointed.thanks ❤"
@chiranthanmr,"No matter how big you are, you don't pivot with the trend, you don't survive."
@bingebuds,"Please make case study on how Subhiksha fail,  an iit , iima alumi why he jailed for 20 year. 🙏"
@riddhitiwari139,please make a video on Unsecured loan and the recent issue regarding ut
@hemanthrayagiri5807,Bro can u please try the case study of NVDIA rise in semiconductor industry
@amanishot,"If Beta Corp is $150 million, then how will Alpha Corp only acquire 75% stake for $200 million? A fundamental flaw in this video! Love the content and explanation though!"
@rahulghorai8718,"Just wow. It's too detailed information & too research, too hard work. ❤❤"
@soccerlve2802,I haven't watched any Netflix documentaries yet but I would like to say that your and your team's hard work is shining bright💥 great work.
@runvijaywagh922,"In this video it's mentioned that LULULEMON has margin of 20% and other competitors have less than half,it has a massive advantage due to its innovative business startegy....if this is really t case then it's case study might be interstin...a topic fr ur next video"
@karan.experi,"Great explanation! What could have been really good would be to discuss other shared office stalwarts like Regus (now IWG) or “Business Centre” concepts which were always doing quite well, even before the “Co-working” term came into existence."
@prasadbhopale4339,Think School viewers can you kindly suggest me good digital marketing course in India (offline)
@chetanshah9247,wat is the book about HDFC?
@azizvirani3736,Can't wait for the day when he makes same video for Cred
@cksowmya,"Thank you @ThinkSchool for making such amazing business case studies. The quality of content , the explanation, the video presentation , the sound effects and most of all the editing is brilliant! Makes it a complete package and a brilliant learning experience for the viewers! Keep up the great work !!  Kudos to the entire team!! 👏 👏👏👏"
@shivoham80,😢 I am stuck in Strasbourg FRANCE handicapped victimised by Nazis please help me to return to India
@trailersclub6227,Zerodha founder also take a huge amount of salary for personal benefit... Zerodha going to die?
@KA13-nr3ul,India China ep3 who all want it immediately 👇
@fd919,saw you on skill tank
@evergreenhog8342,Waiting for such next episode
@30zoop,"For those wondering from where the BGM in the end is, its ""Ooyy - Come 2gether"""
@AbhishekSharma-ft8cx,❤❤🙏
@blacknwhiteadj,Do a case study on theranos
@prisha4713,"but @ThinkSchool i have a question, why didn't wework shut down in covid itself, why did it shut down after a substantial time after covid, instead of huge losses just after covid pandemic itself"
@vinaybhade7046,"If the owner of a company does not look smart enough, don't expect anything great from the company. We work, FTX, etc."
@takeiteasy5355,Amazing
@priyacs,"Bro, please make seperate video on WeWork India."
@HARSHPREETSINGH-wy5uf,Very informative and useful .
@rutvikvaghasiya7171,Launch your THINK SCHOOL IPO
@binaymahanta2137,This is good analysis on how not to do business.
@rhutajoshi9288,SPAC explained so well so easily!!
@prineetrajan7683,"Adani is a bubble, soon to be pop"
@knowinglyunknown6066,Thank think school I am 17 now and i have been watching your content for another 2 years old now and i am planning to start a start up in my first year of college.......all thanks to you and your team for providing such a gold mine ❤
@kartikaypassi9861,"Amazing analysis! Will just add another point, in this era of high valuations for Tech businesses, everybody wants to be a tech business. However, you cannot ignore your primary business. In my opinion, the biggest reason for downfall of Wework was that they considered themselves a tech firm till the very end but in reality they were a real estate firm. Founders need to understand that just by using technology in your operations you do not become a tech firm!"
@kiranpatel3816,"Hi
I m kiran from south africa i like to watch u r channel n all vedio without fail. plz make vedio on hot subject recently happen in south africa rand currency manipulation by banks in south africa"
@dewangmehta1610,@17:53 Did you guys make mistake as an easter egg to check who is actually watching the video and attentively watching the video 😂😂
@suraj_bhalerao03,Thank you so making such videos ❤
@BTMECPrathameshRathod,"Great job with the sound and overall editing🎉
The change can be felt"
@sammedpatil6844,"Hat's off to you and your team.........
Just one request please make a video on farmer protest going on lead by Raju Shetti for sugar cane price...... Thanks"
@panwardeepak79,🤔🤔
@athrvanaik5036,Case study on recently emerged clothing brands pleasee
@yashwantkumar4215,"Takeaway:-
1.) Sustainable growth not rapid growth
2.) Ethical stakeholder
3.) Take care of small expenses (Tea/coffee)
4.) Don't Expense unnecessary, if company is not generating profits.


Keep adding...😊"
@jimanushmishra7066,bro make video on soft bank
